code	description
EEXC	
EEXE	
EEXN	
EEXP	
ENCOM	
ENID	
FXCM	
KBCB	
MGKB	
TENFORE	
TENFORE_LITE	
USDA	
CBOT	Chicago Board of Trade
NYMEX	New York Mercantile Exchange
CME	Chicago Mercantile Exchange
COMEX	Commodity Exchange
CBOE	Chicago Board Options Exchange
BATS	Better Alternative Trading System
NYSE	New York Stock Exchange
ASXCM	Australian Securities Exchange
BALTIC	Shipping Exchange
BMF	Brazilian Mercantile & Futures Exchange
DCE	Dalian Commodity Exchange
ICEEC	ICE Futures Europe - Commodities
ICEEF	ICE Futures Europe - Financials
ICEENDEX	ICE Index
ICEFC	Ice Futures Canada
ICEFU	ICE Futures U.S.
KCBOT	Kansas City Board of Trade
LME	London Metals Exchange
MCX	Multi Commodity Exchange
MDEX	Bursa Malaysia Derivatives
ICEEA	ICE Futures Europe
CFE	CBOE Futures Exchange
ZCE	Zhengzhou Commodity Exchange
TOCOM	Tokyo Commodities Exchange
SGXAC	SGX Asia Clear
SGX	Singapore International Monetary Exchange
SAFEX	Johannesburg Derivatives
MGE	Minneapolis Grain Exchange
TSE	Toronto Stock Exchange
LSE	London Stock Exchange
SMALL	Small Exchange
CFTC	Commodity Futures Trading Commission
NASDAQ	National Association of Securities Dealers Automated Quotations
CMCB	CJSC China Merchants CHN-BLR Commerce and Logistics Company
OPRA	Options Price Reporting Authority
CVE	Canadian Venture Exchange
DTN	Data Transmission Network
DJ	Dow Jones
EEXAG	European Energy Exchange AG
NYSE_AMERICAN	NYSE American (Formerly AMEX)
PK_SHEETS	OTC Pink Sheets
EUREX	Deutsche Borse Exchange
RUSSELL-FL	Russell
BLOOMBERG	Bloomberg
CME-FL	CME Indexes
NFX	NASDAQ Futures Exchange
FTSE	Financial Times Stock Exchange
LPPM	London Platinum and Palladium Market
MGCB	CME Globex: MGEX/CBOT Inter-Exchange Spreads
