code	description
238190	Other Foundation, Structure, and Building Exterior Contractors 
334519	Other Measuring and Controlling Device Manufacturing 
721199	All Other Traveler Accommodation 
532281	Formal Wear and Costume Rental
336211	Motor Vehicle Body Manufacturing 
331221	Rolled Steel Shape Manufacturing 
721214	Recreational and Vacation Camps (except Campgrounds) 
334514	Totalizing Fluid Meter and Counting Device Manufacturing 
611630	Language Schools 
238910	Site Preparation Contractors
623110	Nursing Care Facilities (Skilled Nursing Facilities) 
532284	Recreational Goods Rental 
238390	Other Building Finishing Contractors
311352	Confectionery Manufacturing from Purchased Chocolate 
112340	Poultry Hatcheries
562998	All Other Miscellaneous Waste Management Services 
444120	Paint and Wallpaper Retailers 
424210	Drugs and Druggists' Sundries Merchant Wholesalers 
238340	Tile and Terrazzo Contractors
423990	Other Miscellaneous Durable Goods Merchant Wholesalers 
311613	Rendering and Meat Byproduct Processing 
332439	Other Metal Container Manufacturing 
332913	Plumbing Fixture Fitting and Trim Manufacturing 
326220	Rubber and Plastics Hoses and Belting Manufacturing
339114	Dental Equipment and Supplies Manufacturing 
327992	Ground or Treated Mineral and Earth Manufacturing 
525920	Trusts, Estates, and Agency Accounts 
531120	Lessors of Nonresidential Buildings (except Miniwarehouses) 
561320	Temporary Help Services
423460	Ophthalmic Goods Merchant Wholesalers 
313240	Knit Fabric Mills
722514	Cafeterias, Grill Buffets, and Buffets 
311513	Cheese Manufacturing 
513191	Greeting Card Publishers 
926130	Regulation and Administration of Communications, Electric, Gas, and Other Utilities 
331491	Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding 
926110	Administration of General Economic Programs 
332420	Metal Tank (Heavy Gauge) Manufacturing
811310	Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance 
311615	Poultry Processing 
424590	Other Farm Product Raw Material Merchant Wholesalers 
335931	Current-Carrying Wiring Device Manufacturing 
423120	Motor Vehicle Supplies and New Parts Merchant Wholesalers 
332710	Machine Shops
449129	All Other Home Furnishings Retailers 
512230	Music Publishers
811198	All Other Automotive Repair and Maintenance 
532111	Passenger Car Rental 
111333	Strawberry Farming 
921190	Other General Government Support 
812320	Drycleaning and Laundry Services (except Coin-Operated) 
621399	Offices of All Other Miscellaneous Health Practitioners 
423220	Home Furnishing Merchant Wholesalers 
561591	Convention and Visitors Bureaus 
512240	Sound Recording Studios
813920	Professional Organizations 
561611	Investigation and Personal Background Check Services 
516110	Radio Broadcasting Stations 
522310	Mortgage and Nonmortgage Loan Brokers 
541350	Building Inspection Services
111910	Tobacco Farming
423320	Brick, Stone, and Related Construction Material Merchant Wholesalers 
332321	Metal Window and Door Manufacturing 
313320	Fabric Coating Mills
493120	Refrigerated Warehousing and Storage
335312	Motor and Generator Manufacturing 
459920	Art Dealers 
321999	All Other Miscellaneous Wood Product Manufacturing 
326111	Plastics Bag and Pouch Manufacturing 
322110	Pulp Mills 
332991	Ball and Roller Bearing Manufacturing
488310	Port and Harbor Operations
326199	All Other Plastics Product Manufacturing 
524127	Direct Title Insurance Carriers 
334210	Telephone Apparatus Manufacturing
561730	Landscaping Services
331529	Other Nonferrous Metal Foundries (except Die-Casting) 
541990	All Other Professional, Scientific, and Technical Services
541214	Payroll Services 
531210	Offices of Real Estate Agents and Brokers
326211	Tire Manufacturing (except Retreading) 
312130	Wineries 
111421	Nursery and Tree Production 
562111	Solid Waste Collection 
326121	Unlaminated Plastics Profile Shape Manufacturing 
445298	All Other Specialty Food Retailers 
532420	Office Machinery and Equipment Rental and Leasing
813910	Business Associations 
811111	General Automotive Repair 
221122	Electric Power Distribution 
928120	International Affairs 
925120	Administration of Urban Planning and Community and Rural Development 
444240	Nursery, Garden Center, and Farm Supply Retailers 
611691	Exam Preparation and Tutoring 
813940	Political Organizations 
424690	Other Chemical and Allied Products Merchant Wholesalers 
