code	description
100	AGRICULTURAL PRODUCTION-CROPS
1000	METAL MINING
1040	GOLD AND SILVER ORES
1090	MISCELLANEOUS METAL ORES
1220	BITUMINOUS COAL & LIGNITE MINING
1221	BITUMINOUS COAL & LIGNITE SURFACE MINING
1311	CRUDE PETROLEUM & NATURAL GAS
1381	DRILLING OIL & GAS WELLS
1382	OIL & GAS FIELD EXPLORATION SERVICES
1389	OIL & GAS FIELD SERVICES, NEC
1400	MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS)
1520	GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS
1531	OPERATIVE BUILDERS
1540	GENERAL BLDG CONTRACTORS - NONRESIDENTIAL BLDGS
1600	HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS
1623	WATER, SEWER, PIPELINE, COMM & POWER LINE CONSTRUCTION
1700	CONSTRUCTION - SPECIAL TRADE CONTRACTORS
1731	ELECTRICAL WORK
200	AGRICULTURAL PROD-LIVESTOCK & ANIMAL SPECIALTIES
2000	FOOD AND KINDRED PRODUCTS
2011	MEAT PACKING PLANTS
2013	SAUSAGES & OTHER PREPARED MEAT PRODUCTS
2015	POULTRY SLAUGHTERING AND PROCESSING
2020	DAIRY PRODUCTS
2024	ICE CREAM & FROZEN DESSERTS
2030	CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES
2033	CANNED, FRUITS, VEG, PRESERVES, JAMS & JELLIES
2040	GRAIN MILL PRODUCTS
2050	BAKERY PRODUCTS
2052	COOKIES & CRACKERS
2060	SUGAR & CONFECTIONERY PRODUCTS
2070	FATS & OILS
2080	BEVERAGES
2082	MALT BEVERAGES
2086	BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS
2090	MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS
2092	PREPARED FRESH OR FROZEN FISH & SEAFOODS
2100	TOBACCO PRODUCTS
2111	CIGARETTES
2200	TEXTILE MILL PRODUCTS
2211	BROADWOVEN FABRIC MILLS, COTTON
2221	BROADWOVEN FABRIC MILLS, MAN MADE FIBER & SILK
2250	KNITTING MILLS
2253	KNIT OUTERWEAR MILLS
2273	CARPETS & RUGS
2300	APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL
2320	MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS
2330	WOMEN'S, MISSES', AND JUNIORS OUTERWEAR
2340	WOMEN'S, MISSES', CHILDREN'S & INFANTS' UNDERGARMENTS
2390	MISCELLANEOUS FABRICATED TEXTILE PRODUCTS
2400	LUMBER & WOOD PRODUCTS (NO FURNITURE)
2421	SAWMILLS & PLANTING MILLS, GENERAL
2430	MILLWOOD, VENEER, PLYWOOD, & STRUCTURAL WOOD MEMBERS
2451	MOBILE HOMES
2452	PREFABRICATED WOOD BLDGS & COMPONENTS
2510	HOUSEHOLD FURNITURE
2511	WOOD HOUSEHOLD FURNITURE, (NO UPHOLSTERED)
2520	OFFICE FURNITURE
2522	OFFICE FURNITURE (NO WOOD)
2531	PUBLIC BLDG & RELATED FURNITURE
2540	PARTITIONS, SHELVG, LOCKERS, & OFFICE & STORE FIXTURES
2590	MISCELLANEOUS FURNITURE & FIXTURES
2600	PAPERS & ALLIED PRODUCTS
2611	PULP MILLS
2621	PAPER MILLS
2631	PAPERBOARD MILLS
2650	PAPERBOARD CONTAINERS & BOXES
2670	CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES)
2673	PLASTICS, FOIL & COATED PAPER BAGS
2711	NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING
2721	PERIODICALS: PUBLISHING OR PUBLISHING & PRINTING
2731	BOOKS: PUBLISHING OR PUBLISHING & PRINTING
2732	BOOK PRINTING
2741	MISCELLANEOUS PUBLISHING
2750	COMMERCIAL PRINTING
2761	MANIFOLD BUSINESS FORMS
2771	GREETING CARDS
2780	BLANKBOOKS, LOOSELEAF BINDERS & BOOKBINDG & RELATD WORK
2790	SERVICE INDUSTRIES FOR THE PRINTING TRADE
2800	CHEMICALS & ALLIED PRODUCTS
2810	INDUSTRIAL INORGANIC CHEMICALS
2820	PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)
2821	PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS
2833	MEDICINAL CHEMICALS & BOTANICAL PRODUCTS
2834	PHARMACEUTICAL PREPARATIONS
2835	IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES
2836	BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)
2840	SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS
